Ticker,Company,Sector,Year,Month,Month_Name,Monthly_Return,Avg_Close,Avg_Volume,Avg_Volatility
BAC,Bank of America,Finance,2022,3,Mar,-5.65,37.96,57079065.22,2.63
BAC,Bank of America,Finance,2022,4,Apr,-14.1,34.88,51610495.0,1.81
BAC,Bank of America,Finance,2022,5,May,4.74,32.54,52752447.62,2.26
BAC,Bank of America,Finance,2022,6,Jun,-16.86,30.35,47442585.71,2.12
BAC,Bank of America,Finance,2022,7,Jul,8.71,29.37,40710400.0,2.0
BAC,Bank of America,Finance,2022,8,Aug,-0.29,31.49,35624482.61,1.83
BAC,Bank of America,Finance,2022,9,Sep,-9.69,30.23,40961138.1,1.72
BAC,Bank of America,Finance,2022,10,Oct,18.44,30.31,46711023.81,2.51
BAC,Bank of America,Finance,2022,11,Nov,5.12,33.99,33349785.71,1.85
BAC,Bank of America,Finance,2022,12,Dec,-12.45,30.3,42526676.19,1.77
BAC,Bank of America,Finance,2023,1,Jan,7.06,31.66,40464055.0,1.2
BAC,Bank of America,Finance,2023,2,Feb,-3.3,32.54,32461931.58,1.11
BAC,Bank of America,Finance,2023,3,Mar,-16.66,27.55,89608891.3,1.98
BAC,Bank of America,Finance,2023,4,Apr,2.62,26.84,54118726.32,2.18
BAC,Bank of America,Finance,2023,5,May,-4.9,25.84,47628495.45,1.83
BAC,Bank of America,Finance,2023,6,Jun,4.16,26.79,46126866.67,1.47
BAC,Bank of America,Finance,2023,7,Jul,11.21,28.41,48447335.0,1.45
BAC,Bank of America,Finance,2023,8,Aug,-9.95,27.95,35209321.74,1.47
BAC,Bank of America,Finance,2023,9,Sep,-4.5,26.59,38871560.0,1.1
BAC,Bank of America,Finance,2023,10,Oct,-3.49,24.78,55699945.45,1.42
BAC,Bank of America,Finance,2023,11,Nov,15.81,27.19,42432623.81,2.08
BAC,Bank of America,Finance,2023,12,Dec,10.23,30.68,43189755.0,1.68
BAC,Bank of America,Finance,2024,1,Jan,1.21,31.52,44483880.95,1.42
BAC,Bank of America,Finance,2024,2,Feb,2.35,31.86,37418005.0,1.44
BAC,Bank of America,Finance,2024,3,Mar,9.52,34.53,41336210.0,1.12
BAC,Bank of America,Finance,2024,4,Apr,-2.15,35.3,41111731.82,1.4
BAC,Bank of America,Finance,2024,5,May,7.91,36.83,32767527.27,1.28
BAC,Bank of America,Finance,2024,6,Jun,0.15,37.95,36672963.16,1.29
BAC,Bank of America,Finance,2024,7,Jul,1.63,40.08,39458886.36,1.4
BAC,Bank of America,Finance,2024,8,Aug,1.38,37.31,40638990.91,1.78
BAC,Bank of America,Finance,2024,9,Sep,-1.85,38.23,39745190.0,1.21
BAC,Bank of America,Finance,2024,10,Oct,5.48,40.0,31427386.96,1.38
BAC,Bank of America,Finance,2024,11,Nov,13.18,44.16,38816180.0,2.07
BAC,Bank of America,Finance,2024,12,Dec,-7.09,43.92,31055200.0,1.19
BAC,Bank of America,Finance,2025,1,Jan,5.37,44.81,36972375.0,1.28
BAC,Bank of America,Finance,2025,2,Feb,-0.25,44.67,34223163.16,1.1
BAC,Bank of America,Finance,2025,3,Mar,-8.87,40.85,44593552.38,2.12
BAC,Bank of America,Finance,2025,4,Apr,-3.04,37.11,64730180.95,3.51
BAC,Bank of America,Finance,2025,5,May,10.36,42.14,39184376.19,1.73
BAC,Bank of America,Finance,2025,6,Jun,7.66,44.55,38788420.0,1.17
BAC,Bank of America,Finance,2025,7,Jul,0.04,46.83,41199540.91,1.17
BAC,Bank of America,Finance,2025,8,Aug,7.31,46.96,34684961.9,1.38
BAC,Bank of America,Finance,2025,9,Sep,2.3,50.48,35916180.95,1.02
BAC,Bank of America,Finance,2025,10,Oct,3.85,50.65,33172630.43,1.37
BAC,Bank of America,Finance,2025,11,Nov,0.51,52.14,37480368.42,1.38
BAC,Bank of America,Finance,2025,12,Dec,3.08,54.37,36336222.73,1.01
BAC,Bank of America,Finance,2026,1,Jan,-3.1,53.51,39621875.0,1.3
BAC,Bank of America,Finance,2026,2,Feb,-6.13,53.03,44442773.68,1.61
BAC,Bank of America,Finance,2026,3,Mar,-1.83,49.48,42424380.0,1.99
CVX,Chevron,Energy,2020,1,Jan,-12.37,87.21,7351814.29,1.06
CVX,Chevron,Energy,2020,2,Feb,-12.27,81.34,8339905.26,1.47
CVX,Chevron,Energy,2020,3,Mar,-14.44,58.62,21635690.91,6.24
CVX,Chevron,Energy,2020,4,Apr,25.94,64.26,14424871.43,7.84
CVX,Chevron,Energy,2020,5,May,1.84,70.67,10344625.0,3.2
CVX,Chevron,Energy,2020,6,Jun,-1.72,72.43,9373459.09,3.02
CVX,Chevron,Energy,2020,7,Jul,-5.41,68.33,8248900.0,2.57
CVX,Chevron,Energy,2020,8,Aug,1.65,68.26,8260876.19,2.12
CVX,Chevron,Energy,2020,9,Sep,-14.93,60.87,12210804.76,1.57
CVX,Chevron,Energy,2020,10,Oct,-3.14,56.75,11416400.0,1.9
CVX,Chevron,Energy,2020,11,Nov,25.8,65.83,12081370.0,3.26
CVX,Chevron,Energy,2020,12,Dec,-2.85,70.71,10217686.36,2.98
CVX,Chevron,Energy,2021,1,Jan,1.32,72.69,10397215.79,1.72
CVX,Chevron,Energy,2021,2,Feb,17.72,75.7,10701815.79,1.95
CVX,Chevron,Energy,2021,3,Mar,5.0,86.42,13225100.0,1.73
CVX,Chevron,Energy,2021,4,Apr,-1.44,83.83,8341428.57,1.34
CVX,Chevron,Energy,2021,5,May,2.18,86.85,10471725.0,1.76
CVX,Chevron,Energy,2021,6,Jun,1.2,87.99,10184740.91,1.57
CVX,Chevron,Energy,2021,7,Jul,-2.6,83.49,9795033.33,1.6
