Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Cumulative_Return,Daily_Range_Pct,Signal,Year,Month,Quarter,Month_Name
2020-07-24,XOM,ExxonMobil,Energy,34.113830840875536,34.53364326803763,33.5773990725767,33.76398468017578,16415300,-0.6178606841886092,33.90703372955322,35.419610748291014,,2.3781430657024063,-36.660551719252,2.8321426055567893,SELL,2020,7,3,Jul
2020-07-27,XOM,ExxonMobil,Energy,33.60850182014939,34.27709613854838,33.406370102476174,34.26154708862305,18547900,1.47364836573749,33.924526405334475,35.4471321105957,,2.2747061249079734,-35.727150974795606,2.5414089848888954,SELL,2020,7,3,Jul
2020-07-28,XOM,ExxonMobil,Energy,34.1371500063995,34.40147786455083,33.787303875658424,33.85727310180664,19190500,-1.179964190673255,33.8945951461792,35.47123245239258,,2.261380644607679,-36.485547577618505,1.8140090226570285,SELL,2020,7,3,Jul
2020-07-29,XOM,ExxonMobil,Energy,33.98166701709319,34.27709300733117,33.694017033946544,34.230445861816406,14143200,1.1021937853283648,33.8677734375,35.450863647460935,,2.266304334730292,-35.78549523023368,1.7033841035504502,SELL,2020,7,3,Jul
2020-07-30,XOM,ExxonMobil,Energy,33.53074699776665,33.56961812520555,32.52008285597066,32.551177978515625,29901100,-4.905772744181469,33.79624900817871,35.418677520751956,,2.47001989958031,-38.93571290303998,3.224262021877079,SELL,2020,7,3,Jul
2020-07-31,XOM,ExxonMobil,Energy,31.99921316174042,32.78442092907653,31.804854480494264,32.714454650878906,32116200,0.5015998882468953,33.718506240844725,35.36752250671387,,2.463629789104725,-38.62941450720287,2.994292458902265,SELL,2020,7,3,Jul
2020-08-03,XOM,ExxonMobil,Energy,32.69113110700766,33.0409773425943,32.24022048777906,32.84661865234375,23033600,0.40399267808455264,33.635321044921874,35.33160507202148,,2.458738816472672,-38.38148183531433,2.4378669332470335,SELL,2020,8,3,Aug
2020-08-04,XOM,ExxonMobil,Energy,32.916583903312166,33.89615027835492,32.838841622921336,33.79508590698242,17724000,2.8875643629485026,33.64426155090332,35.31403511047363,,2.485506480300617,-36.602207463813926,3.128586973691134,SELL,2020,8,3,Aug
2020-08-05,XOM,ExxonMobil,Energy,34.323744110812264,34.448133547517564,33.841732448610884,34.090511322021484,17175100,0.8741667822718124,33.67186050415039,35.28200462341309,,2.491069351941011,-36.04800502076899,1.7787973115996139,SELL,2020,8,3,Aug
2020-08-06,XOM,ExxonMobil,Energy,33.740663447096374,34.12938075424874,33.62404706867959,33.92724609375,14434900,-0.4789169242117475,33.76048812866211,35.2415779876709,,2.2899276431520157,-36.354281948095576,1.4894627290785234,SELL,2020,8,3,Aug
2020-08-07,XOM,ExxonMobil,Energy,33.60848708499164,33.83394376154362,33.28196607675226,33.77174758911133,18757900,-0.4583292855806498,33.791196250915526,35.21669990539551,,2.195378032974092,-36.64598891294555,1.6344362498117475,SELL,2020,8,3,Aug
2020-08-10,XOM,ExxonMobil,Energy,34.19935140078847,34.673584043933566,33.89614939751642,34.603614807128906,24367800,2.463204534567187,33.863109016418456,35.20177307128906,,2.2569622882106057,-35.085450039019015,2.246686222668808,SELL,2020,8,3,Aug
2020-08-11,XOM,ExxonMobil,Energy,35.3732705773095,36.088508910512395,34.77464564242759,34.96123123168945,28987500,1.0334655109121016,33.89809322357178,35.18140411376953,,2.1489835732564444,-34.414580553608474,3.758057773703044,SELL,2020,8,3,Aug
2020-08-12,XOM,ExxonMobil,Energy,35.24663281901161,35.62716291273368,34.58863381034148,34.95330810546875,22503200,-0.022662606383039297,33.9109130859375,35.144861679077145,,2.1320239690151213,-34.42944391906229,2.9711897347699594,SELL,2020,8,3,Aug
2020-08-13,XOM,ExxonMobil,Energy,34.48557794262308,34.77890270134031,34.025768785112724,34.09711837768555,17338700,-2.4495241629196363,33.894528770446776,35.06118629455566,,2.1981568843124832,-36.03561053402562,2.2087905138648383,SELL,2020,8,3,Aug
2020-08-14,XOM,ExxonMobil,Energy,33.77207681395283,34.311161869410256,33.621451263586685,34.24774169921875,13595700,0.44174795026601377,33.91521778106689,34.98270050048828,,2.1634498813482903,-35.75304915465951,2.0138863808334087,SELL,2020,8,3,Aug
2020-08-17,XOM,ExxonMobil,Energy,34.22395529487701,34.22395529487701,33.669017484376376,33.80378723144531,15554600,-1.2963028969106172,33.95335865020752,34.833451690673826,,2.113715814777952,-36.58588423964439,1.6416438983629993,SELL,2020,8,3,Aug
2020-08-18,XOM,ExxonMobil,Energy,33.76414957474552,34.23981142382426,33.52631865020615,33.637306213378906,13014000,-0.49249220783030845,33.89960117340088,34.65506225585938,,1.7696486759736934,-36.89819381842864,2.1211352927373306,SELL,2020,8,3,Aug
2020-08-19,XOM,ExxonMobil,Energy,33.573886191479055,33.819646550418256,33.19335607144016,33.264705657958984,14473100,-1.107700340378992,33.86764011383057,34.48819038391113,,1.7102769359700791,-37.5971727402872,1.8827476948627422,SELL,2020,8,3,Aug
2020-08-20,XOM,ExxonMobil,Energy,33.05065657913978,33.209211550337194,32.74147604860634,32.75733184814453,15678500,-1.5252616843554057,33.80681190490723,34.3557958984375,,1.7385566398110064,-38.54897915443409,1.427880341107058,SELL,2020,8,3,Aug
2020-08-21,XOM,ExxonMobil,Energy,32.741478364794766,32.77318996611449,32.2737428299755,32.511573791503906,25517700,-0.7502383215455488,33.744191360473636,34.28798873901367,,1.7406115865334428,-39.01000826179847,1.536213347720214,SELL,2020,8,3,Aug
2020-08-24,XOM,ExxonMobil,Energy,32.725621523614144,33.70073055180608,32.574995958411776,33.470829010009766,18208900,2.9505037949179025,33.704655456542966,34.22397338867187,,1.8425439114320716,-37.21049624104271,3.3633304781833884,SELL,2020,8,3,Aug
2020-08-25,XOM,ExxonMobil,Energy,33.02686537839079,33.3519016197551,32.26580535336954,32.408504486083984,31285600,-3.1738817213283976,33.63221702575684,34.139178161621096,,1.9545667734457508,-39.20336082376106,3.351269315287052,SELL,2020,8,3,Aug
2020-08-26,XOM,ExxonMobil,Energy,32.21825056555358,32.37680555547631,31.710877017148785,31.71880340576172,26795000,-2.1281484328239175,33.506634902954104,34.024107208251955,,1.974651633120977,-40.4972035475998,2.0994756006670734,SELL,2020,8,3,Aug
2020-08-27,XOM,ExxonMobil,Energy,31.71087821257923,31.948709194336573,31.16386665211884,31.504758834838867,32034300,-0.674819185909048,33.45431394577027,33.92916698455811,,1.6644850855272098,-40.898739834213,2.4911872721584842,SELL,2020,8,3,Aug
2020-08-28,XOM,ExxonMobil,Energy,31.58402265702581,32.44021446645179,31.520599473417445,32.257877349853516,33477100,2.390491287245866,33.43148508071899,33.8447798538208,,1.7545610232612476,-39.485929359297344,2.850823019322204,SELL,2020,8,3,Aug
2020-08-31,XOM,ExxonMobil,Energy,32.21824421855785,32.28166741170652,31.631594802854103,31.66330337524414,25259600,-1.843190015762386,33.372319316864015,33.76311702728272,,1.7950620581595018,-40.60131866747818,2.0530789259363136,SELL,2020,8,3,Aug
2020-09-01,XOM,ExxonMobil,Energy,31.512679889628224,31.512679889628224,30.95773901000542,31.25899314880371,22464100,-1.276904755163788,33.245514678955075,33.66652664184571,,1.6582906440323295,-41.35978325391774,1.7752999176304012,SELL,2020,9,3,Sep
2020-09-02,XOM,ExxonMobil,Energy,31.10043527427549,31.48889476097612,30.87846015283754,31.068723678588867,26413400,-0.6086871362397828,33.09442529678345,33.561777153015136,,1.6323893077607814,-41.71671870991427,1.9647881723550253,SELL,2020,9,3,Sep
2020-09-03,XOM,ExxonMobil,Energy,31.076653916649487,31.734652911645195,30.822967192773515,31.00530433654785,28817200,-0.20412599724758396,32.94832820892334,33.48996643066406,,1.6332926808557766,-41.83569003907627,2.9404185457293543,SELL,2020,9,3,Sep
2020-09-04,XOM,ExxonMobil,Energy,31.28276884384572,31.544384942133767,30.640625737473005,30.981517791748047,24632500,-0.07671766269929936,32.80881671905517,33.407262344360355,,1.6352538683025917,-41.88031233820346,2.9170914437945292,SELL,2020,9,3,Sep
2020-09-08,XOM,ExxonMobil,Energy,30.323522044613775,30.66441416835726,29.610026198596124,30.268028259277344,38496400,-2.3029521576917067,32.5920373916626,33.33438903808594,,1.5377207136633324,-43.218780939254486,3.4835039822521665,SELL,2020,9,3,Sep
2020-09-09,XOM,ExxonMobil,Energy,30.40279258609085,30.791252038242206,30.06190052323883,30.08568572998047,25886100,-0.6024261895585692,32.34826011657715,33.246984786987305,,1.4857624206138866,-43.56084587362704,2.42424760249548,SELL,2020,9,3,Sep
2020-09-10,XOM,ExxonMobil,Energy,30.339380236951172,30.418656215346395,29.25328360717607,29.33255958557129,34381200,-2.5032706622295398,32.06722269058228,33.13829837799072,,1.5259298361069693,-44.973670660883045,3.9729659621779954,SELL,2020,9,3,Sep
2020-09-11,XOM,ExxonMobil,Energy,29.43561587157125,29.578315028250504,28.928242436349105,29.253278732299805,26838600,-0.2702827656079543,31.825030708312987,33.04373062133789,,1.4838053473072148,-45.12239734563336,2.222221303294887,SELL,2020,9,3,Sep
2020-09-14,XOM,ExxonMobil,Energy,29.26120986074059,29.34048583877114,28.928247123990612,29.063016891479492,26129900,-0.6503949268778397,31.565794467926025,32.93960475921631,,1.457393807649175,-45.47931848928955,1.4184305652775708,SELL,2020,9,3,Sep
2020-09-15,XOM,ExxonMobil,Energy,29.174003795474686,29.633812925131704,28.706268277871867,28.753835678100586,23724200,-1.0638304155875522,31.31329689025879,32.8244750213623,,1.454212356766885,-46.05932608198609,3.225811879999961,SELL,2020,9,3,Sep
2020-09-16,XOM,ExxonMobil,Energy,28.90445725174043,30.244243443445715,28.753831708089823,29.974700927734375,30890900,4.245921355680626,31.130166625976564,32.75164352416992,,1.8408161361619015,-43.769047488703094,4.972232213255793,SELL,2020,9,3,Sep
2020-09-17,XOM,ExxonMobil,Energy,29.61002418077015,30.109471238946824,29.308773087811513,29.966772079467773,24696200,-0.026451801089577565,30.965269947052,32.68020832061767,,1.839724177084583,-43.783921588412156,2.6719532854989163,SELL,2020,9,3,Sep
2020-09-18,XOM,ExxonMobil,Energy,29.752725446963392,29.982630000645734,29.094726408715907,29.483182907104492,46853800,-1.613751294536725,30.8015625,32.62677810668945,,1.8424121360651486,-44.69110928151694,3.0115594870724474,SELL,2020,9,3,Sep
2020-09-21,XOM,ExxonMobil,Energy,28.88067626953125,29.10265140082402,28.286097432839036,28.88067626953125,35351800,-2.0435603559887605,30.62001762390137,32.54123992919922,,1.873749467401258,-45.821379845577006,2.827336729806558,SELL,2020,9,3,Sep
2020-09-22,XOM,ExxonMobil,Energy,28.904457071810903,29.205711181421037,28.11961473848519,28.167179107666016,27303200,-2.470500189145375,30.35483512878418,32.44127632141113,,1.723138732494812,-47.15986275896839,3.8558935517978585,SELL,2020,9,3,Sep
2020-09-23,XOM,ExxonMobil,Energy,28.262320139113918,28.37330772397145,27.231714224442822,27.263425827026367,31251400,-3.2085331555039565,30.0975811958313,32.3013138961792,,1.7256193751180742,-48.85525608176068,4.1872709129494705,SELL,2020,9,3,Sep
2020-09-24,XOM,ExxonMobil,Energy,27.271347075339776,27.604309730230884,26.76397065845471,27.207923889160156,26796000,-0.20357653589957447,29.87203722000122,32.151534156799315,,1.7039184275235064,-48.95937477972414,3.0885821174726673,SELL,2020,9,3,Sep
2020-09-25,XOM,ExxonMobil,Energy,26.954239269622015,27.69944361954643,26.859107507206687,27.461612701416016,23486000,0.9324078282831882,29.669879913330078,32.012270317077636,,1.7450731040723255,-48.4834679945656,3.0600391953543613,SELL,2020,9,3,Sep
2020-09-28,XOM,ExxonMobil,Energy,27.858000278853854,28.4605085341407,27.826288681378884,27.992773056030273,23396500,1.9341921408237983,29.456624698638915,31.895446548461916,,1.7054881484123865,-47.48703928129152,2.2656556801013013,SELL,2020,9,3,Sep
2020-09-29,XOM,ExxonMobil,Energy,27.747014732210022,27.83422011952365,26.946316494864618,27.176218032836914,20770500,-2.9170208380532525,29.232270431518554,31.778151512145996,,1.7596522387326359,-49.01885328813497,3.267208202356124,SELL,2020,9,3,Sep
2020-09-30,XOM,ExxonMobil,Energy,27.461610018337165,27.683585117013383,27.05729779943636,27.215852737426758,22223700,0.1458433419321059,29.030113410949706,31.628219451904297,,1.765829864300019,-48.94450068001507,2.301185722965662,SELL,2020,9,3,Sep
2020-10-01,XOM,ExxonMobil,Energy,26.78775360493323,27.03351087018161,26.113895917464735,26.264524459838867,36890200,-3.495493184674836,28.789903450012208,31.47543140411377,,1.8747185215467723,-50.72914217914685,3.501357712084445,SELL,2020,10,4,Oct
2020-10-02,XOM,ExxonMobil,Energy,25.56688782002309,26.43893549723396,25.535176225604925,26.145610809326172,32694300,-0.4527538684148902,28.54691877365112,31.318865699768068,,1.8712426981254549,-50.95221789393196,3.4566385854204738,SELL,2020,10,4,Oct
2020-10-05,XOM,ExxonMobil,Energy,26.415151773291512,26.756043832949732,26.296234813249278,26.748117446899414,22965200,2.3044274695557254,28.335248756408692,31.17854835510254,,1.9935873392509058,-49.8219473298719,1.7190332015450105,SELL,2020,10,4,Oct
2020-10-06,XOM,ExxonMobil,Energy,27.049370816939152,27.28720173317832,26.40722764551182,26.47064781188965,26731800,-1.0373426674254782,28.145379734039306,31.02273036956787,,1.960274349024651,-50.34246567990236,3.3243390714119516,SELL,2020,10,4,Oct
2020-10-07,XOM,ExxonMobil,Energy,26.668839344849513,26.748118328886438,26.327947273950784,26.557851791381836,23779300,0.32943651440604516,27.968988037109376,30.876741943359374,,1.972496593046787,-50.17887562969825,1.582097295504909,SELL,2020,10,4,Oct
2020-10-08,XOM,ExxonMobil,Energy,26.85911337677626,28.01655964901813,26.763978569386758,27.953136444091797,34413700,5.253755701591567,27.900016880035402,30.751195755004883,,2.3125471976267065,-47.561395467496496,4.48100370467057,SELL,2020,10,4,Oct
2020-10-09,XOM,ExxonMobil,Energy,28.286095996102215,28.50014472934135,27.469542069592492,27.540891647338867,29228600,-1.4747711677272735,27.814397525787353,30.650990028381347,,2.329672888623678,-48.334744887900385,3.7420816760246036,SELL,2020,10,4,Oct
2020-10-12,XOM,ExxonMobil,Energy,27.382338086472238,27.532963636403018,27.13657774525264,27.45368766784668,17912800,-0.31663455420700704,27.733931064605713,30.5457746887207,,2.3280416692102155,-48.49833493810449,1.4438347807628693,SELL,2020,10,4,Oct
2020-10-13,XOM,ExxonMobil,Energy,27.532962933290502,27.643950496108808,27.03351587642385,27.128650665283203,20995100,-1.1839466030793222,27.652671813964844,30.431415328979494,,2.330381223343854,-49.1080871521341,2.2501473708242266,SELL,2020,10,4,Oct
2020-10-14,XOM,ExxonMobil,Energy,27.00180868097012,27.612243331777215,26.97802347045049,27.073158264160156,17743000,-0.2045527505504019,27.507594680786134,30.296976776123046,,2.075527785501303,-49.212187959672114,2.3426149810024683,SELL,2020,10,4,Oct
2020-10-15,XOM,ExxonMobil,Energy,26.716410524112582,27.318915767318593,26.37551840486956,27.310989379882812,23251600,0.878475696858394,27.374805545806886,30.161386337280273,35.612519063949584,2.0958702427192284,-48.766029373931715,3.4542775046587546,SELL,2020,10,4,Oct
2020-10-16,XOM,ExxonMobil,Energy,27.247566591709354,27.461615345894295,26.859110093665365,27.033517837524414,22627200,-1.0159703059413272,27.252322292327882,30.02351177215576,35.48115461349487,2.082503252863711,-49.28655130204728,2.228734180472105,SELL,2020,10,4,Oct
2020-10-19,XOM,ExxonMobil,Energy,27.033517522294296,27.247566273983274,26.4706502627702,26.49443244934082,23645800,-1.9941370243546586,27.13301010131836,29.87796546936035,35.349237489700315,2.08049402831869,-50.29784695886025,2.932374613793263,SELL,2020,10,4,Oct
2020-10-20,XOM,ExxonMobil,Energy,26.684698086113634,26.89874683035598,26.42308497038478,26.71640968322754,23040600,0.8378259632892959,27.060471630096437,29.720221366882324,35.21640024185181,2.03913960779741,-49.88142941636781,1.7804108621294865,SELL,2020,10,4,Oct
2020-10-21,XOM,ExxonMobil,Energy,26.56577990636312,26.652985282386293,26.27245520679953,26.288311004638672,28619300,-1.6023810222435153,27.01171588897705,29.546762962341308,35.08360290527344,1.945748623719021,-50.68451988001965,1.4475257673253183,SELL,2020,10,4,Oct
2020-10-22,XOM,ExxonMobil,Energy,26.30416220898779,27.71529470421931,26.177318872609494,27.636018753051758,31831500,5.126642590979991,27.03312063217163,29.40041717529297,34.96152892112732,2.276918144042149,-48.156291472242465,5.565113576426355,SELL,2020,10,4,Oct
2020-10-23,XOM,ExxonMobil,Energy,27.72322560918688,27.8104309746851,26.843248592517714,27.081079483032227,27429100,-2.008028996427902,27.014093971252443,29.260096397399902,34.834687881469726,2.315115758564678,-49.1973281723034,3.5714321608685475,SELL,2020,10,4,Oct
2020-10-26,XOM,ExxonMobil,Energy,26.645054734357416,26.771898073077008,26.121825584116134,26.438932418823242,30888700,-2.3712018740291496,26.93640193939209,29.10392021179199,34.70696682929993,2.321590980474484,-50.40196207873863,2.4587698121201487,SELL,2020,10,4,Oct
2020-10-27,XOM,ExxonMobil,Energy,26.280382510287776,26.320020489614805,25.92363464797658,26.018766403198242,27100700,-1.5891943326949987,26.878529357910157,28.94821979522705,34.57466381072998,2.25976782867422,-51.19017128651122,1.5234613182487409,SELL,2020,10,4,Oct
2020-10-28,XOM,ExxonMobil,Energy,25.447969533277693,25.669947658508637,24.9881635347969,25.027801513671875,42136400,-3.808654392640831,26.76912679672241,28.77602970123291,34.439661502838135,2.397331262802656,-53.04916897184798,2.724107122790229,SELL,2020,10,4,Oct
2020-10-29,XOM,ExxonMobil,Energy,24.90096438129158,26.264532969020664,24.66313342450236,26.1376895904541,38622800,4.434620740363204,26.762785053253175,28.633489379882814,34.310622186660765,2.5100295274769646,-50.96707768130068,6.126783084543025,SELL,2020,10,4,Oct
2020-10-30,XOM,ExxonMobil,Energy,25.693729097731865,26.272452040280296,25.376619227537507,25.860210418701172,47885700,-1.0616055822098014,26.748515033721922,28.495546951293946,34.18121047019959,2.5195512556612645,-51.487613921756584,3.4641358219380733,SELL,2020,10,4,Oct
2020-11-02,XOM,ExxonMobil,Energy,26.272457897044646,27.318916468109485,25.82057819700231,26.94631576538086,40130300,4.19990916196975,26.758424949645995,28.384241790771483,34.058206701278685,2.6443507621042066,-49.45013777416629,5.560456888255421,SELL,2020,11,4,Nov
2020-11-03,XOM,ExxonMobil,Energy,27.342702466292938,27.342702466292938,26.2645322652739,26.486507415771484,36773000,-1.7063867046348213,26.759217929840087,28.244555358886718,33.93658789634705,2.6632555287374773,-50.31271390239914,4.070639379116621,SELL,2020,11,4,Nov
2020-11-04,XOM,ExxonMobil,Energy,26.375518819068994,27.065229455821985,25.78886634152179,26.343807220458984,35410100,-0.5387656178010403,26.748515701293947,28.12326141357422,33.8157217502594,2.6652985407244065,-50.580411916311455,4.845021464129732,SELL,2020,11,4,Nov
